Country,Region,Cercle,Commune,Village,Latitude,Longitude,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR
Mali,Tombouctou,Gourma-Rharous,Serere,Moyadji-koira,16.7722815,-2.3139194,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Barapireli,Nabene,14.3022055,-3.13977715,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Barapireli,Nagadourou,14.3323984,-3.12030765,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Rharous,Nana ii,16.8475214,-2.0272292,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,Nana iii,16.8479184,-2.0311274,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Rharous,N'diabi,16.8523483,-2.1076594,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Nemguene,15.0255559,-2.41219365,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Haire,Nissanata,15.0996232,-2.22627752,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Haire,Nokara,15.1726199,-2.39706427,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Gao,N'Tillit,Norbene,16.192601,-0.4248369,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Gao,N'Tillit,N'Tillit,15.5281977,-0.48465415,2,ML02,Northern Livestock,Nord élevage
Mali,Bandiagara,Koro,Koro,Ogosanhi,14.0160082,-3.0077194,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Barapireli,Ogotene,14.313927,-2.97150077,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Ansongo,Tessit,Oudalan Chagaren Ii,15.5415793,-0.28497827,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Tessit,Oudalan Kawalan I,15.2195491,-0.10538115,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Gao,Ansongo,Tessit,Oudalan kawalan ii,15.3609127,-0.05455252,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Oulad idriss,16.6949839,-2.8265035,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Ourekorohin,14.0081172,-3.17946577,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
